id|reuse|existing|saas|dependency|coverage|research|automation|primary|secondary|difficulty|explanation|boundary|ec|questions
R001|NO_EXISTING_CAPABILITY|无|中|高|PARTIAL|R2|T0|D|C|京东数据|商机接口已有类目热度与供需候选，但机会版本、行业覆盖和可经营条件决定推荐质量。|提供可解释机会清单，不把热度直接等同盈利机会。|EC01|Q01,Q04
R002|PARTIAL_REUSE|中|中|高|PARTIAL|R1|T0|B|D|京东接口|内容生成有基础，完整创建还取决于类目模板、申请字段与发布结果确认。|商品创建申请不等于已上架；补齐校验、审核状态和失败处理。|EC01,EC02,EC03|Q01,Q02
R003|PARTIAL_REUSE|中|低|低|NOT_REQUIRED|R1|T0|B|无|业务规则|可复用巡检优化基础，标题规范与真实商品事实决定推荐是否可用。|以商家提供商品资料输出推荐标题；自动回写为另行确认的扩展。|EC01,EC03|Q03
R004|PARTIAL_REUSE|中|低|低|NOT_REQUIRED|R1|T0|B|无|业务规则|短标题与卖点需适配京喜字段限制并避免虚构商品事实。|生成文本；平台回写不在原文明确承诺内。|EC01,EC03|Q03
R005|PARTIAL_REUSE|中|中|高|PARTIAL|R1|T0|B|D|业务规则|缺失属性能识别不代表能够推断真实值，需类目模板与可验证商品资料。|未知属性交商家补充；实际补齐与写入范围需确认。|EC01,EC03|Q01,Q02,Q03
R006|DIRECT_REUSE|高|中|高|PARTIAL|R1|T0|B|D|京东接口|信息分优化方向已有基础，京喜扣分项、优化字段与生效后分数须逐项对应。|诊断、修改与重新计分分开核验，不承诺每次改动必然涨分。|EC01,EC02,EC03|Q01,Q02,Q03
R007|PARTIAL_REUSE|低|中|高|PARTIAL|R1|T0|C|D|现有能力缺口|跨平台链接解析、素材使用依据和属性映射未被现有能力事实覆盖。|京东创建仅覆盖目标端；来源平台获取与合规迁移需另行确定。|EC01,EC02,EC03|Q01,Q02,Q06
R008|NO_EXISTING_CAPABILITY|无|中|核心依赖|PARTIAL|R2|T0|D|C|京东数据|行业商机不能替代本店SKU利润、库存和经营表现的联合评分。|保留独立于流量潜力SKU的综合投入价值标准。|EC01|Q01,Q04,Q05,Q07
R009|KNOWHOW_REUSE|低|中|高|PARTIAL|R2|T0|C|D|业务规则|完整经营方案需要跨价格、流量、活动和广告约束，不只是生成文字。|输出有依据的经营建议；方案自动落地由自动执行模块承接。|EC01,EC03|Q01,Q05,Q07,Q08,Q09
R010|DIRECT_REUSE|高|低|低|NOT_REQUIRED|R1|T0|A|无|业务规则|核心生图已具备，京喜主图规范与商品事实约束决定可交付性。|以商家输入商品信息生成主图；上传与替换单列。|EC01,EC02|Q03
