图片：012ba00000c0359b.png
内容：3. 主图前五张示例｜表格：主图顺序｜内容要求｜示例

3. 主图前五张示例

主图顺序	内容要求	示例

首图	商品主体核心卖点价促信息	〔示例图1〕老树大颗粒｜开口率高 易剥｜松香浓郁｜老街口｜严选原料 只卖净含量｜下单即享多重优惠｜〔角标：新品〕
		〔示例图2〕中〔字迹不清〕老字号｜上海传统小吃｜83年源头传统工艺｜非物质文化遗产

第二张图	针对核心卖点强调补充	〔示例图1〕原味烘烤 少许盐调味｜厚重的果仁果香 饱满紧实 香而不腻
		〔示例图2〕内蒙古草原奶源 成就好风味｜西域美农｜远离城市喧嚣｜追寻原生态的本真味道｜自然馈赠的礼物

第三张图	人货场搭配（适用场景、适用人群）	〔示例图1〕孕妇级零食｜轻盐原味, 营养健康
		〔示例图2〕可即食 可泡水｜健康零食好选择

第四张图	品质（颗粒大小、种类介绍+原料进口与否）	〔示例图1〕严选当季鲜果｜01 美国扁桃仁｜02 新疆核桃仁｜03 越南腰果仁｜04 澳洲夏威夷果仁｜05 土耳其榛子仁
		〔示例图2〕高钾 高镁 高蛋白｜西域美农 每一口营养都清晰可见｜约等于鲜奶 10.3倍｜约等于核桃 28.6倍｜约等于菠菜 2〔字迹不清：倍数值尾部〕倍

第五张图	商品本身/品牌背书/网红零食推荐/特殊工艺等	〔示例图1〕传统工艺 小炒花生｜360度立体烘炒｜自然甜润 0添加
		〔示例图2〕三蒸三晒传统工艺｜自然甜润 0添加

差异化补充图	配料/成分/尺寸 ①简易表格 ②成分表	〔示例图1〕礼盒产品明细｜悦享礼｜夏威夷果, 碧根果, 炭烧腰果, 蟹黄味蚕豆, 兰花豆, 纸皮核桃, 多味花生, 蟹黄味瓜子仁.
		〔示例图2〕坚果星球｜坚果星球混合坚果｜净含量: 500g(25g*20)｜配料表：〔字迹不清〕｜营养成分表：〔表头及数值字迹不清〕
